question,ground_truth,generated_answer,similarity,coherence,groundedness,context_relevancy,toxicity,bias
Which movie has a cast that includes Antonio Banderas?,Automata,The movie that includes Antonio Banderas in its cast is 'The Mask of Zorro'.,0.06942489036964594,0.37480777005897264,0.06942489036964594,0.06942489036964594,"(0.0006830911734141409, 'toxic')","(0.0, 'No Bias Detected')"
"What is the title of the movie with the description 'T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.'?",Black Panther,The title of the movie with the given description is 'Black Panther'.,0.7507065323068209,0.54717919676709,0.7507065323068209,0.7507065323068209,"(0.0005930148181505501, 'toxic')","(0.0, 'No Bias Detected')"
What genre is 'Amanda Knox' listed under?,Documentaries,'Amanda Knox' is listed under the genre 'Documentaries'.,0.5126913410864551,0.6735205045780811,0.5126913410864551,0.5126913410864551,"(0.0006068208022043109, 'toxic')","(0.0, 'No Bias Detected')"
"Which TV show has a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane'?",Archibald's Next Big Thing,"The TV show with a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane' is ""Archibald's Next Big Thing"".",0.6399209836933045,0.6096229434041923,0.6399209836933045,0.6399209836933045,"(0.0006528102676384151, 'toxic')","(0.0, 'No Bias Detected')"
What is the description of the movie 'Article 15'?,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,The movie 'Article 15' is about a city cop investigating a murder in India's heartland and uncovering the grim realities of caste discrimination.,0.7257976785265748,0.41307788529428874,0.7257976785265748,0.7257976785265748,"(0.0009819578845053911, 'toxic')","(0.0, 'No Bias Detected')"
"Which show was added on September 30, 2018?",Adam Ruins Everything,"I'm sorry, but I don't have the specific information about which show was added on September 30, 2018.",0.02348670667606545,0.5797386715376658,0.02348670667606545,0.02348670667606545,"(0.0005641582538373768, 'toxic')","(0.0, 'No Bias Detected')"
Who directed 'The Most Assassinated Woman in the World'?,Franck Ribière,Franck Ribière directed 'The Most Assassinated Woman in the World'.,0.5356340625501539,0.7736753693468769,0.5356340625501539,0.5356340625501539,"(0.0011026363354176283, 'toxic')","(0.0, 'No Bias Detected')"
What is the release year of the movie 'PK'?,2014,The movie 'PK' was released in the year 2014.,0.5781098733166851,0.46975676801152594,0.5781098733166851,0.5781098733166851,"(0.0006043982575647533, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie '6 Years'?,80 min,The duration of the movie '6 Years' is 80 minutes.,0.4462480794126923,0.7548969126692832,0.4462480794126923,0.4462480794126923,"(0.0006226398982107639, 'toxic')","(0.0, 'No Bias Detected')"
"Which TV show is listed under the genres 'Docuseries, Science & Nature TV'?",Battlefish,"I'm sorry, but I don't know the answer.",0.11302404798723198,0.05870361458334144,0.11302404798723198,0.11302404798723198,"(0.000759690476115793, 'toxic')","(0.0, 'No Bias Detected')"
What is the title of the movie directed by Gaspar Noé and released in 2015?,Love,The title of the movie directed by Gaspar Noé and released in 2015 is 'Love'.,0.33856936685060246,0.8901087250340664,0.33856936685060246,0.33856936685060246,"(0.0006573410355485976, 'toxic')","(0.0, 'No Bias Detected')"
What is the rating of the TV show 'Castle of Stars'?,TV-14,The TV show 'Castle of Stars' has a rating of TV-14.,0.49030322504743307,0.7079368548126751,0.49030322504743307,0.49030322504743307,"(0.0006410213536582887, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie 'Bangkok Traffic (Love) Story'?,126 min,The duration of the movie 'Bangkok Traffic (Love) Story' is 126 minutes.,0.4551074939277556,0.8037311277734124,0.4551074939277556,0.4551074939277556,"(0.0005894367932341993, 'toxic')","(0.0, 'No Bias Detected')"
"Which movie is described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.'?",Joseph: King of Dreams,The movie described is 'Joseph: King of Dreams'.,0.8011820293676106,0.18869884109014312,0.8011820293676106,0.8011820293676106,"(0.0005915248184464872, 'toxic')","(0.0, 'No Bias Detected')"
What is the release year of 'City of Joy'?,2018,The release year of 'City of Joy' is 2018.,0.40907343671237695,0.835049905752098,0.40907343671237695,0.40907343671237695,"(0.0005704089417122304, 'toxic')","(0.0, 'No Bias Detected')"
Who directed the movie 'Hell and Back'?,"Tom Gianas, Ross R. Shuman",Tom Gianas and Ross R. Shuman directed the movie 'Hell and Back'.,0.5577933703235506,0.6029249083855072,0.5577933703235506,0.5577933703235506,"(0.002649724716320634, 'toxic')","(0.0, 'No Bias Detected')"
What is the title of the movie with the description 'Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.'?,American Factory: A Conversation with the Obamas,"The title of the movie is ""American Factory: A Conversation with the Obamas.""",0.8190901335755647,0.5147349628861242,0.8190901335755647,0.8190901335755647,"(0.0006304585258476436, 'toxic')","(0.0, 'No Bias Detected')"
Which movie was released in 2013 and has a duration of 108 minutes?,The Grandmaster,"I'm sorry, but I don't know the answer.",0.11184683657636851,0.0,0.11184683657636851,0.11184683657636851,"(0.000759690476115793, 'toxic')","(0.0, 'No Bias Detected')"
What is the genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna'?,"Documentaries, International Movies",The genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna' is International Movies and Documentaries.,0.4918472772850091,0.8594559861673499,0.4918472772850091,0.4918472772850091,"(0.0006695189513266087, 'toxic')","(0.0, 'No Bias Detected')"
"Which movie has a cast that includes Shannon Purser, Kristine Froseth, RJ Cyler?",Sierra Burgess Is A Loser,"The movie that includes Shannon Purser, Kristine Froseth, RJ Cyler in its cast is 'Sierra Burgess Is A Loser'.",0.6440403138276907,0.4908342120661074,0.6440403138276907,0.6440403138276907,"(0.22189131379127502, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie 'Manhattan Romance'?,98 min,The duration of the movie 'Manhattan Romance' is 98 minutes.,0.5053983052445721,0.7736753693468769,0.5053983052445721,0.5053983052445721,"(0.0006610025302506983, 'toxic')","(0.0, 'No Bias Detected')"
"Which movie has the genre 'Stand-Up Comedy' and was added on September 5, 2017?",Marc Maron: Too Real,"The movie 'Marc Maron: Too Real' has the genre 'Stand-Up Comedy' and was added on September 5, 2017.",0.7784105761170388,0.7399949934298338,0.7784105761170388,0.7784105761170388,"(0.0007074970635585487, 'toxic')","(0.0, 'No Bias Detected')"
What is the description of the movie 'Amanda Knox'?,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,The movie 'Amanda Knox' is a documentary about a woman who was twice convicted and acquitted of murder. It provides an illuminating perspective as Amanda Knox and the people closest to her case speak out.,0.9130210755067977,0.37523032960454406,0.9130210755067977,0.9130210755067977,"(0.0006915293633937836, 'toxic')","(0.0, 'No Bias Detected')"
"Which movie has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'?",Moonwalkers,"The movie 'Moonwalkers' has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'.",0.5316839346536691,0.7897746636343571,0.5316839346536691,0.5316839346536691,"(0.0006474381079897285, 'toxic')","(0.0, 'No Bias Detected')"
What is the release year of 'Shutter'?,2004,The release year of 'Shutter' is 2004.,0.49716661200835544,0.7523197619890014,0.49716661200835544,0.49716661200835544,"(0.0005942159914411604, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie 'The Mayor'?,130 min,The duration of the movie 'The Mayor' is 130 minutes.,0.49537179970393563,0.8267283375553849,0.49537179970393563,0.49537179970393563,"(0.0006083391490392387, 'toxic')","(0.0, 'No Bias Detected')"
Which country produced 'The Royal House of Windsor'?,United Kingdom,The United Kingdom produced 'The Royal House of Windsor'.,0.43987864570554536,0.6166318855603955,0.43987864570554536,0.43987864570554536,"(0.0005794951575808227, 'toxic')","(0.0, 'No Bias Detected')"
What is the duration of the movie 'Laddaland'?,112 min,The duration of the movie 'Laddaland' is 112 minutes.,0.51891118464795,0.7548969126692832,0.51891118464795,0.51891118464795,"(0.0006645790999755263, 'toxic')","(0.0, 'No Bias Detected')"
What is the genre of the movie 'Norm of the North: King Sized Adventure'?,"Children & Family Movies, Comedies",The genres of the movie 'Norm of the North: King Sized Adventure' are Children & Family Movies and Comedies.,0.5720762942838089,0.6642163891237507,0.5720762942838089,0.5720762942838089,"(0.0006450249929912388, 'toxic')","(0.0, 'No Bias Detected')"
Which movie has a description that involves 'social media celebrity'?,#realityhigh,The movie that involves 'social media celebrity' in its description is '#realityhigh'.,0.5802914479791665,0.5149138161160748,0.5802914479791665,0.5802914479791665,"(0.000638401776086539, 'toxic')","(0.0, 'No Bias Detected')"
"What is the title of the movie with a runtime of 94 minutes and was added on September 9, 2016?",Jandino: Whatever it Takes,"I'm sorry, but I don't have the information to answer that question.",0.052201332129750866,0.07338366200386337,0.052201332129750866,0.052201332129750866,"(0.0006823039148002863, 'toxic')","(0.0, 'No Bias Detected')"
What is the description of the movie 'Joaquín Reyes: Una y no más'?,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.","'Joaquín Reyes: Una y no más' is a comedy special featuring comedian Joaquín Reyes sharing humorous stories about various topics such as buses, bathroom habits, and royalty.",0.6581920942607365,0.25377277569246437,0.6581920942607365,0.6581920942607365,"(0.0007805460481904447, 'toxic')","(0.0, 'No Bias Detected')"
"Which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'?",Fire Chasers,"I'm sorry, but I don't have the information about which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'.",-0.022111054240550487,0.7426027254767803,-0.022111054240550487,-0.022111054240550487,"(0.0005610424559563398, 'toxic')","(0.0, 'No Bias Detected')"
What is the genre of the movie 'Fabrizio Copano: Solo pienso en mi'?,Stand-Up Comedy,The genre of the movie 'Fabrizio Copano: Solo pienso en mi' is Stand-Up Comedy.,0.5103543995163152,0.7846808650367368,0.5103543995163152,0.5103543995163152,"(0.001965006347745657, 'toxic')","(0.0, 'No Bias Detected')"
