Question,gen_output
What is the description of the movie 'Article 15'?,"'Article 15' is a Hindi-language crime drama film directed by Anubhav Sinha. The movie is inspired by true events and revolves around the theme of caste discrimination in India. It follows the story of a young police officer who is assigned to investigate the disappearance of three teenage girls from a small village. As he delves deeper into the case, he uncovers a web of corruption, violence, and social injustice. The film explores themes of inequality, discrimination, and the struggle for justice in a society divided by caste. 'Article 15' received critical acclaim for its powerful storytelling, realistic portrayal of social issues, and strong performances by the cast."
"Which show was added on September 30, 2018?","There is no specific information provided in the question about which show was added on September 30, 2018."
Who directed 'The Most Assassinated Woman in the World'?,"The movie ""The Most Assassinated Woman in the World"" was directed by Franck Ribière."
What is the release year of the movie 'PK'?,The movie 'PK' was released in the year 2014.
What is the duration of the movie '6 Years'?,The movie '6 Years' has a duration of 1 hour and 19 minutes.
"Which TV show is listed under the genres 'Docuseries, Science & Nature TV'?","One TV show that is listed under the genres 'Docuseries, Science & Nature TV' is ""Planet Earth"""
What is the title of the movie directed by Gaspar Noé and released in 2015?,"The title of the movie directed by Gaspar Noé and released in 2015 is ""Love""."
What is the rating of the TV show 'Castle of Stars'?,The TV show 'Castle of Stars' has a rating of 8.5 out of 10.
What is the duration of the movie 'Bangkok Traffic (Love) Story'?,The duration of the movie 'Bangkok Traffic (Love) Story' is approximately 2 hours and 6 minutes.
"Which movie is described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.'?","The movie described is ""Joseph: King of Dreams."""
What is the release year of 'City of Joy'?,The release year of 'City of Joy' is 1992.
Who directed the movie 'Hell and Back'?,The movie 'Hell and Back' was directed by Tom Gianas and Ross Shuman.
What is the title of the movie with the description 'Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.'?,"The title of the movie is ""American Factory""."
Which movie was released in 2013 and has a duration of 108 minutes?,"One movie that was released in 2013 and has a duration of 108 minutes is ""The Great Gatsby"" directed by Baz Luhrmann."
What is the genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna'?,The genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna' is likely non-fiction.
"Which movie has a cast that includes Shannon Purser, Kristine Froseth, RJ Cyler?","The movie that includes Shannon Purser, Kristine Froseth, and RJ Cyler in its cast is ""Sierra Burgess Is a Loser"" (2018)."
What is the duration of the movie 'Manhattan Romance'?,The duration of the movie 'Manhattan Romance' is 1 hour and 34 minutes.
"Which movie has the genre 'Stand-Up Comedy' and was added on September 5, 2017?","The movie that has the genre 'Stand-Up Comedy' and was added on September 5, 2017, cannot be determined without additional information."
What is the description of the movie 'Amanda Knox'?,"""Amanda Knox"" is a documentary film that explores the infamous case of Amanda Knox, an American exchange student who was convicted and later acquitted of the murder of her roommate, Meredith Kercher, in Italy. The film delves into the media frenzy surrounding the case and examines the various theories and evidence presented during the trial. It offers a comprehensive look at the events and controversies surrounding the case, providing different perspectives and allowing viewers to form their own opinions about Knox's guilt or innocence."
"Which movie has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'?","The movie that includes Ron Perlman, Rupert Grint, and Robert Sheehan in its cast is ""Moonwalkers"" (2015)."
What is the release year of 'Shutter'?,The release year of 'Shutter' is 2004.
What is the duration of the movie 'The Mayor'?,The duration of the movie 'The Mayor' is 2 hours and 10 minutes.
Which country produced 'The Royal House of Windsor'?,"The Royal House of Windsor is a British television documentary series. Therefore, the country that produced it is the United Kingdom."
What is the duration of the movie 'Laddaland'?,The duration of the movie 'Laddaland' is approximately 1 hour and 53 minutes.
What is the genre of the movie 'Norm of the North: King Sized Adventure'?,The genre of the movie 'Norm of the North: King Sized Adventure' is animated comedy.
Which movie has a description that involves 'social media celebrity'?,"One movie that involves a social media celebrity is ""The Social Network"" (2010). This film tells the story of Mark Zuckerberg, the co-founder of Facebook, and his rise to becoming a social media mogul. It explores the impact of social media on society and the consequences of fame and success in the digital age."
"What is the title of the movie with a runtime of 94 minutes and was added on September 9, 2016?","The title of the movie with a runtime of 94 minutes and was added on September 9, 2016 is not provided."
What is the description of the movie 'Joaquín Reyes: Una y no más'?,"'Joaquín Reyes: Una y no más' is a stand-up comedy special featuring Spanish comedian Joaquín Reyes. In this performance, Reyes delivers his unique brand of humor, combining observational comedy with witty anecdotes and impressions. The special showcases his comedic talent and provides an entertaining and laughter-filled experience for viewers."
"Which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'?","One TV show that was released in 2017 and is categorized under 'Docuseries, Science & Nature TV' is ""Planet Earth II""."
What is the genre of the movie 'Fabrizio Copano: Solo pienso en mi'?,The genre of the movie 'Fabrizio Copano: Solo pienso en mi' is comedy.
