Question,gen_output
Who directed 'The Most Assassinated Woman in the World'?,Franck Ribière directed 'The Most Assassinated Woman in the World'.
What is the release year of the movie 'PK'?,The movie 'PK' was released in the year 2014.
What is the duration of the movie '6 Years'?,The movie '6 Years' has a duration of 80 minutes.
"Which TV show is listed under the genres 'Docuseries, Science & Nature TV'?","I'm sorry, but I don't know the answer."
What is the title of the movie directed by Gaspar Noé and released in 2015?,The title of the movie directed by Gaspar Noé and released in 2015 is 'Love'.
What is the rating of the TV show 'Castle of Stars'?,The rating of the TV show 'Castle of Stars' is TV-14.
What is the duration of the movie 'Bangkok Traffic (Love) Story'?,The duration of the movie 'Bangkok Traffic (Love) Story' is 126 minutes.
"Which movie is described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.'?","The movie described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.' is 'Joseph: King of Dreams'."
What is the release year of 'City of Joy'?,The release year of 'City of Joy' is 2018.
Who directed the movie 'Hell and Back'?,The movie 'Hell and Back' was directed by Tom Gianas and Ross R. Shuman.
What is the title of the movie with the description 'Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.'?,"The title of the movie is ""American Factory: A Conversation with the Obamas."""
Which movie was released in 2013 and has a duration of 108 minutes?,"I'm sorry, but I don't have the information to answer that question."
What is the genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna'?,The genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna' is Children & Family Movies.
"Which movie has a cast that includes Shannon Purser, Kristine Froseth, RJ Cyler?","The movie that has a cast that includes Shannon Purser, Kristine Froseth, and RJ Cyler is 'Sierra Burgess Is A Loser'."
What is the duration of the movie 'Manhattan Romance'?,The duration of the movie 'Manhattan Romance' is 98 minutes.
"Which movie has the genre 'Stand-Up Comedy' and was added on September 5, 2017?","The movie 'Marc Maron: Too Real' has the genre 'Stand-Up Comedy' and was added on September 5, 2017."
What is the description of the movie 'Amanda Knox'?,"The description of the movie 'Amanda Knox' is ""She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary."""
"Which movie has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'?","The movie that has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan' is 'Moonwalkers'."
What is the release year of 'Shutter'?,The release year of 'Shutter' is 2004.
What is the duration of the movie 'The Mayor'?,The duration of the movie 'The Mayor' is 130 minutes.
Which country produced 'The Royal House of Windsor'?,'The Royal House of Windsor' was produced in the United Kingdom.
What is the duration of the movie 'Laddaland'?,The duration of the movie 'Laddaland' is 112 minutes.
What is the genre of the movie 'Norm of the North: King Sized Adventure'?,The genre of the movie 'Norm of the North: King Sized Adventure' is Children & Family Movies and Comedies.
Which movie has a description that involves 'social media celebrity'?,The movie that involves 'social media celebrity' in its description is '#realityhigh'.
"What is the title of the movie with a runtime of 94 minutes and was added on September 9, 2016?","The movie ""Jandino: Whatever it Takes"" was added on September 9, 2016."
What is the description of the movie 'Joaquín Reyes: Una y no más'?,"'Joaquín Reyes: Una y no más' is about a comedian and celebrity impersonator named Joaquín Reyes. In the movie, he decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
"Which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'?","I'm sorry, but I don't have the information about which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'."
What is the genre of the movie 'Fabrizio Copano: Solo pienso en mi'?,The genre of the movie 'Fabrizio Copano: Solo pienso en mi' is Stand-Up Comedy.
